political_party,sitting_year,keyword,score
ανεξαρτητοι (εκτος κομματος),2010,νομοσχεδι,2.375727187055327
ανεξαρτητοι (εκτος κομματος),2010,οποι,1.6944631617637547
ανεξαρτητοι (εκτος κομματος),2010,πολιτικ,1.9558200325573971
ανεξαρτητοι (εκτος κομματος),2010,πρεπ,1.8745261102056636
ανεξαρτητοι (εκτος κομματος),2010,προεδρ,0.32410605983694424
ανεξαρτητοι (εκτος κομματος),2010,τραπεζ,0.7078537106109981
ανεξαρτητοι (εκτος κομματος),2010,υγει,1.372080514579984
ανεξαρτητοι (εκτος κομματος),2010,υπουργ,1.6988317423093853
ανεξαρτητοι (εκτος κομματος),2011,αρθρ,3.419119947550265
ανεξαρτητοι (εκτος κομματος),2011,μου,2.3777553224825665
ανεξαρτητοι (εκτος κομματος),2011,νομοσχεδι,2.83853758794563
ανεξαρτητοι (εκτος κομματος),2011,οποι,5.707981495937554
ανεξαρτητοι (εκτος κομματος),2011,πολιτικ,5.1491882645388865
ανεξαρτητοι (εκτος κομματος),2011,πρεπ,2.8736544036826297
ανεξαρτητοι (εκτος κομματος),2011,προεδρ,3.7055330103511483
ανεξαρτητοι (εκτος κομματος),2011,τραπεζ,2.7996536326372454
ανεξαρτητοι (εκτος κομματος),2011,υγει,2.5042909642242037
ανεξαρτητοι (εκτος κομματος),2011,υπουργ,2.0566202345790394
ανεξαρτητοι (εκτος κομματος),2012,αρθρ,1.4301447378947518
ανεξαρτητοι (εκτος κομματος),2012,μου,0.39835881950525803
ανεξαρτητοι (εκτος κομματος),2012,νομοσχεδι,1.160030630847599
ανεξαρτητοι (εκτος κομματος),2012,οποι,3.442303793424329
ανεξαρτητοι (εκτος κομματος),2012,πολιτικ,1.22294957591604
ανεξαρτητοι (εκτος κομματος),2012,πρεπ,1.5003690169047945
ανεξαρτητοι (εκτος κομματος),2012,προεδρ,3.616707744570192
ανεξαρτητοι (εκτος κομματος),2012,τραπεζ,1.5648688429217161
ανεξαρτητοι (εκτος κομματος),2012,υγει,0.9959738671155192
ανεξαρτητοι (εκτος κομματος),2012,υπουργ,2.222979112280345
ανεξαρτητοι (εκτος κομματος),2013,αρθρ,0.8488338044440794
ανεξαρτητοι (εκτος κομματος),2013,μου,0.5922048073791055
ανεξαρτητοι (εκτος κομματος),2013,νομοσχεδι,1.2494417619220535
ανεξαρτητοι (εκτος κομματος),2013,οποι,2.1188132175488628
ανεξαρτητοι (εκτος κομματος),2013,πολιτικ,1.091035864777951
ανεξαρτητοι (εκτος κομματος),2013,πρεπ,0.6147488344643111
ανεξαρτητοι (εκτος κομματος),2013,προεδρ,0.6981866971759989
ανεξαρτητοι (εκτος κομματος),2013,τραπεζ,1.9482786691693705
ανεξαρτητοι (εκτος κομματος),2013,υγει,0.5391955633019843
ανεξαρτητοι (εκτος κομματος),2013,υπουργ,1.0135704875053835
ανεξαρτητοι (εκτος κομματος),2014,αρθρ,0.5184793708899299
ανεξαρτητοι (εκτος κομματος),2014,μου,0.9409308759480425
ανεξαρτητοι (εκτος κομματος),2014,νομοσχεδι,0.9248606209632677
